 ,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
27,716.952,255,109.378,0.753,31.052,2486,621,144.246,30.016,1.014,0.986,0.983
28,472.532,255,91.328,0.712,31.455,19,583,101.710,18.368,1.643,0.609,0.987
29,693.069,255,115.087,0.658,30.616,1456,739,177.064,29.680,1.010,0.990,0.981
30,696.142,255,126.691,0.545,30.716,314,867,70.178,29.792,1.005,0.995,0.975
31,678.605,255,105.930,0.760,30.233,2059,862,54.956,29.281,1.001,0.999,0.983
32,718.470,255,112.383,0.715,30.972,2839,916,74.908,30.128,1.010,0.990,0.983
33,688.816,255,113.026,0.678,30.491,1102,1031,67.769,29.479,1.006,0.994,0.980
34,585.855,255,98.702,0.756,31.139,3100,794,105.436,22.960,1.300,0.769,0.984
35,690.296,255,108.618,0.735,30.514,748,930,174.101,29.830,1.016,0.985,0.972
36,739.419,255,135.185,0.508,31.947,485,1095,68.833,30.576,1.004,0.996,0.970
37,699.403,255,112.910,0.689,30.766,146,832,110.678,29.904,1.007,0.993,0.979
38,709.702,255,114.535,0.680,31.195,1605,1010,10.342,29.936,1.009,0.991,0.981
39,698.049,255,120.101,0.608,30.939,1409,1113,73.599,29.712,1.011,0.989,0.978
40,729.358,255,115.109,0.692,31.728,2456,969,171.269,30.366,1.012,0.988,0.982
41,698.651,255,110.591,0.718,30.940,2173,978,165.964,29.695,1.011,0.989,0.981
42,681.089,255,114.971,0.647,30.467,1896,967,162.897,29.511,1.002,0.998,0.974
43,704.810,255,108.923,0.747,30.906,2782,1156,42.944,29.890,1.008,0.992,0.978
44,726.285,255,133.766,0.510,31.539,599,1139,163.496,30.593,1.011,0.989,0.968
45,725.984,255,111.014,0.740,31.426,312,1060,111.536,30.193,1.012,0.988,0.981
46,699.002,255,109.340,0.735,30.898,891,1146,159.857,29.790,1.007,0.993,0.978
47,688.503,255,119.232,0.609,30.688,1173,1175,159.713,29.576,1.001,0.999,0.975
48,500.368,255,93.589,0.718,30.008,6,1353,70.145,20.496,1.430,0.699,0.985
49,698.525,255,136.222,0.473,31.039,1550,1101,102.080,29.828,1.004,0.996,0.969
50,756.905,255,135.845,0.515,32.323,1736,1211,163.700,31.245,1.006,0.994,0.967
51,674.591,255,117.621,0.613,30.339,2031,1296,16.294,29.154,1.008,0.993,0.977
52,690.008,255,124.307,0.561,30.796,2308,1288,10.901,29.568,1.012,0.989,0.977
53,640.672,255,99.327,0.816,29.972,3014,1147,127.255,27.216,1.037,0.965,0.987
54,732.356,255,113.594,0.713,31.598,2621,1398,40.976,30.424,1.005,0.995,0.979
55,674.315,255,101.712,0.819,29.927,499,1274,118.867,29.232,1.004,0.996,0.988
56,714.356,255,119.981,0.624,31.082,762,1332,128.563,30.182,1.003,0.997,0.976
57,720.377,255,126.123,0.569,31.309,169,1322,117.482,30.324,1.012,0.988,0.973
58,700.670,255,128.697,0.532,31.078,1109,1320,103.335,29.724,1.011,0.989,0.972
59,647.785,255,125.405,0.518,29.897,1397,1342,102.110,28.706,1.017,0.983,0.971
60,700.808,255,120.346,0.608,30.978,1681,1357,102.529,29.968,1.011,0.989,0.975
61,688.967,255,134.234,0.480,30.768,2203,1400,128.497,29.452,1.012,0.988,0.971
62,643.821,255,102.500,0.770,29.215,1888,1469,164.205,28.664,1.001,0.999,0.984
63,678.204,255,109.944,0.705,30.445,2820,1428,145.491,29.232,1.014,0.986,0.983
64,679.333,255,116.359,0.631,30.505,2464,1628,38.890,29.486,1.004,0.996,0.975
65,685.404,255,112.311,0.683,30.218,309,1583,155.240,29.289,1.011,0.989,0.984
66,667.943,255,117.883,0.604,30.246,571,1706,11.102,29.065,1.016,0.984,0.977
67,711.207,255,139.105,0.462,31.278,848,1723,11.149,30.059,1.010,0.990,0.971
68,652.689,255,112.938,0.643,29.867,21,1631,144.462,28.448,1.009,0.991,0.979
69,675.570,255,130.618,0.498,30.446,1228,1581,106.235,29.304,1.009,0.991,0.970
70,666.864,255,120.608,0.576,30.263,1519,1591,103.265,29.199,1.007,0.993,0.975
71,635.354,255,115.390,0.600,29.457,1806,1856,66.944,28.392,1.004,0.996,0.976
72,669.486,255,111.356,0.678,30.273,2271,1795,10.229,29.030,1.013,0.988,0.980
73,677.577,255,105.860,0.760,30.355,1998,1720,160.830,29.321,1.007,0.993,0.980
74,691.689,255,110.421,0.713,30.859,2553,1761,160.052,29.402,1.009,0.991,0.978
75,849.154,255,136.118,0.576,34.185,2832,1843,12.488,32.442,1.023,0.977,0.977
76,600.456,255,117.775,0.544,28.743,450,1892,165.097,27.705,1.011,0.989,0.974
77,695.439,255,122.507,0.582,30.648,191,1845,142.125,29.777,1.014,0.987,0.979
78,658.635,255,116.026,0.615,30.080,719,1900,163.117,28.801,1.015,0.985,0.975
79,646.229,255,121.237,0.552,29.726,994,1911,163.135,28.640,1.004,0.996,0.971
80,694.210,255,124.093,0.567,30.820,1602,2065,46.620,29.589,1.007,0.993,0.977
81,696.756,255,117.024,0.639,30.971,1264,1988,6.020,29.520,1.010,0.990,0.976
82,687.386,255,109.023,0.727,30.844,1848,1959,157.812,29.487,1.012,0.988,0.980
83,693.796,255,113.808,0.673,30.907,2122,2050,11.921,29.665,1.003,0.997,0.971
84,718.608,255,126.968,0.560,31.386,2409,2006,157.553,30.199,1.009,0.991,0.972
85,597.584,255,114.299,0.575,30.191,3023,1985,133.046,26.432,1.007,0.993,0.983
86,621.292,255,102.017,0.750,30.743,2696,2055,161.301,25.200,1.169,0.855,0.986
87,443.957,255,94.306,0.627,29.865,11,2073,151.801,18.928,1.480,0.676,0.983
88,431.024,255,104.673,0.494,30.665,551,2199,10.735,17.808,1.663,0.601,0.974
89,388.337,255,98.770,0.500,33.095,834,2199,3.298,15.680,1.955,0.511,0.978
