 ,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,354.682,255,80.250,0.692,30.281,2100,1,177.032,15.008,1.912,0.523,0.990
2,824.392,255,107.717,0.893,33.096,2398,222,35.357,31.920,1.012,0.988,0.992
3,627.150,255,100.232,0.784,31.925,2912,123,21.615,24.080,1.303,0.767,0.990
4,779.860,255,106.138,0.870,31.918,1889,47,134.289,31.405,1.009,0.991,0.990
5,696.343,255,103.389,0.819,30.625,1501,323,65.591,29.504,1.014,0.986,0.985
6,757.633,255,120.531,0.655,31.962,917,356,77.863,30.818,1.018,0.983,0.981
7,780.500,255,118.271,0.701,32.377,514,204,168.224,31.525,1.005,0.995,0.977
8,719.185,255,103.527,0.843,30.910,2733,103,120.002,30.234,1.003,0.997,0.987
9,608.660,255,105.006,0.694,30.896,19,383,60.461,24.192,1.242,0.805,0.983
10,725.369,255,111.700,0.731,31.434,233,217,164.924,30.183,1.003,0.997,0.983
11,726.599,255,102.063,0.877,30.976,2180,397,57.402,30.352,1.010,0.990,0.989
12,625.958,255,99.324,0.797,30.806,3087,485,69.127,24.640,1.211,0.826,0.988
13,700.582,255,106.760,0.772,30.598,1127,501,58.928,29.697,1.013,0.988,0.985
14,744.875,255,106.274,0.829,31.753,1626,405,3.438,30.535,1.016,0.984,0.986
15,725.495,255,104.280,0.838,31.094,2552,554,67.777,30.234,1.009,0.991,0.987
16,691.927,255,100.533,0.860,30.472,1986,590,61.457,29.663,1.009,0.991,0.989
17,714.155,255,110.059,0.741,30.915,694,409,154.920,30.103,1.008,0.992,0.982
18,618.871,255,101.113,0.761,28.956,1442,583,62.345,27.996,1.009,0.991,0.981
19,728.091,255,107.853,0.787,31.236,2739,472,169.254,30.327,1.002,0.998,0.986
20,717.667,255,105.154,0.816,31.108,479,370,110.001,30.038,1.014,0.986,0.984
21,647.810,255,107.727,0.701,29.522,159,623,65.574,28.726,1.002,0.998,0.981
22,711.583,255,107.722,0.771,30.848,2272,676,57.002,29.948,1.009,0.991,0.983
23,627.601,255,110.027,0.651,31.647,3088,504,106.447,24.080,1.261,0.793,0.982
24,673.500,255,102.762,0.801,30.180,916,591,157.527,29.144,1.013,0.987,0.986
25,696.317,255,112.671,0.689,30.760,1192,621,154.555,29.810,1.004,0.996,0.978
26,697.058,255,104.772,0.798,30.840,1735,673,177.086,29.720,1.009,0.991,0.982
