Timestamp,MeanIntensity,MedianIntensity,StdDev,Count
8/21/2025 18:48,135.405,118.541,42.19535788,5
8/21/2025 22:08,245.2402,214.339,103.2989469,5
8/22/2025 1:28,573.7048,404.18,480.5027157,5
8/22/2025 4:48,1051.9324,595.439,1240.302881,5
8/22/2025 8:08,2045.982833,1427.57,1541.245669,6
8/22/2025 11:28,2608.91525,2107.4045,1545.757669,8
8/22/2025 14:48,4161.638125,3751.17,1976.909937,8
8/22/2025 18:08,5719.353625,4640.6715,3187.648333,8
8/22/2025 21:28,8223.851125,7360.104,3380.748084,8
8/23/2025 0:48,10784.21325,9833.8565,3934.164762,8
8/23/2025 4:08,12748.86314,11778.038,4489.693698,7
8/23/2025 7:28,16357.13288,15533.1725,3971.916509,8
8/23/2025 10:48,17907.43533,18419.873,3518.034151,9
8/23/2025 14:08,19654.27644,18910.268,3269.619889,9
8/23/2025 17:28,20307.75757,20272.22,4035.472481,7
8/23/2025 20:48,21223.69357,21526.934,3650.225011,7
8/24/2025 0:08,21142.32057,20873.015,3279.688806,7
8/24/2025 3:28,22375.0735,21635.1135,2478.141914,6
8/24/2025 6:48,21750.27783,21228.1425,3006.596897,6
8/24/2025 10:08,21779.14371,21885.73,2707.420606,7
8/24/2025 13:28,21208.8786,21590.081,1423.64576,5
8/24/2025 16:48,22237.21717,21735.9735,2820.383082,6
8/24/2025 20:08,20654.42914,21193.101,1491.361845,7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
