Timestamp,MeanIntensity,MedianIntensity,StdDev,Count
2025-08-21 17:48:56,82.07225,55.337999999999994,62.10404751906272,4
2025-08-22 00:28:56,75.54260000000001,70.221,17.33968299306536,5
2025-08-22 07:08:56,146.1902,100.916,101.45329335807686,5
2025-08-22 13:48:56,218.41,194.7145,139.86402046988354,4
2025-08-22 20:28:56,510.79475,567.4905,153.4440859365934,4
2025-08-23 03:08:56,636.4259999999999,657.6,187.91932372873916,4
2025-08-23 09:48:56,669.5672500000001,627.8585,253.81229003126833,4
2025-08-23 16:28:56,1215.912,1246.2215,503.21138371662454,4
2025-08-23 23:08:56,2391.2625000000003,2369.1035,782.4030039881409,4
2025-08-24 05:48:56,3436.49775,3536.3914999999997,598.658842845336,4
2025-08-24 12:28:56,5326.860000000001,5260.86,1594.3871040689373,4
2025-08-24 19:08:56,5919.0275,6004.342000000001,995.6048748995089,4
2025-08-25 01:48:56,7192.105750000001,7097.6025,1568.666912312782,4
2025-08-25 08:28:56,7594.04975,7516.302,1275.7064641605125,4
2025-08-25 15:08:56,7853.315500000001,7853.315500000001,926.8649621776093,2
2025-08-25 21:48:56,8580.547333333334,8312.093,1684.8270511255257,3
2025-08-26 04:28:56,9055.6325,9055.6325,1160.2512121624786,2
2025-08-26 11:08:56,9678.761999999999,9678.761999999999,1182.5766945648804,2
2025-08-26 17:48:56,9638.891,9638.891,1011.6972698233395,2
2025-08-27 00:28:56,10107.6165,10107.6165,923.3973105226708,2
2025-08-27 07:08:56,9433.606333333331,9380.353,1342.2105605520073,3
2025-08-27 13:48:56,9124.250666666667,9093.033,1952.6606656652693,3
2025-08-27 20:28:56,8569.797,8569.797,,1
